BOROUGH;NEIGHBORHOOD;BUILDING CLASS CATEGORY;TAX CLASS AT PRESENT;BLOCK;LOT;EASEMENT;BUILDING CLASS AT PRESENT;ADDRESS;APARTMENT NUMBER;ZIP CODE;RESIDENTIAL UNITS;COMMERCIAL UNITS;TOTAL UNITS;LAND SQUARE FEET;GROSS SQUARE FEET;YEAR BUILT;TAX CLASS AT TIME OF SALE;BUILDING CLASS AT TIME OF SALE;PRICE;SALE DATE
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;949;25;;A5;19-30 81ST STREET;;11370;1;0;1;1 800;1 224;1945;1;A5;780 000;28.07.2023
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;949;27;;A5;19-34 81ST STREET;;11370;1;0;1;1 800;1 224;1945;1;A5;820 000;15.06.2023
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;949;38;;A5;19-56 81ST STREET;;11370;1;0;1;1 800;1 224;1945;1;A5;0;23.05.2023
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;949;43;;A5;19-66 81ST STREET;;11370;1;0;1;1 800;1 224;1945;1;A5;820 000;26.05.2023
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;976;41;;A5;2161 80 STREET;;11370;1;0;1;1 800;1 224;1950;1;A5;0;15.03.2023
4;AIRPORT LA GUARDIA;01 ONE FAMILY DWELLINGS;1;976;55;;A5;21-33 80TH STREET;;11370;1;0;1;1 800;1 224;1950;1;A5;830 000;23.09.2022
4;AIRPORT LA GUARDIA;12 CONDOS - WALKUP APARTMENTS;2;949;1017;;R2;19-17 80TH STREET, 1;1;11370;1;;1;;;;2;R2;335 000;09.11.2022
4;AIRPORT LA GUARDIA;12 CONDOS - WALKUP APARTMENTS;2;949;1032;;R2;80-16 19TH AVENUE, B-2;2;11370;1;;1;;;;2;R2;400 000;27.03.2023
4;ARVERNE;01 ONE FAMILY DWELLINGS;1;15830;5;;A6;40-10 ROCKAWAY BEACH BLVD;;11691;1;0;1;1 594;482;1920;1;A6;0;30.01.2023
4;ARVERNE;01 ONE FAMILY DWELLINGS;1;15833;47;;A5;341 BEACH 42ND STREET;;11691;1;0;1;2 850;1 332;2006;1;A5;549 999;23.09.2022
